The Full list of ASCII characters for Java:

charaters can be created like this

//the 'a' character:
char c = 0b0110_0001; 	//base 2 (you can omit the '_' character... it's just for visibility)
char c = 0141; 			//base 8
char c = 97;			//base 10
char c = 0x61;			//base 16



ASCII control characters non printable :

BASE2			   BASE8		BASE10	  BASE16
0b1110_0111        0347        231        0xe7         : character ç= þ ( Lowercase letter Thorn )
0b1110_1000        0350        232        0xe8         : character è= Þ ( Capital letter Thorn )
0b1110_1001        0351        233        0xe9         : character é= Ú ( Capital letter U with acute accent or U-acute )
0b1110_1010        0352        234        0xea         : character ê= Û ( Letter U with circumflex accent or U-circumflex )
0b1110_1011        0353        235        0xeb         : character ë= Ù ( Capital letter U with grave accent )
0b1110_1100        0354        236        0xec         : character ì= ý ( Lowercase letter y with acute accent )
0b1110_1101        0355        237        0xed         : character í= Ý ( Capital letter Y with acute accent )
0b1110_1110        0356        238        0xee         : character î= ¯ ( Macron symbol )
0b1110_1111        0357        239        0xef         : character ï= ´ ( Acute accent )
0b1111_0000        0360        240        0xf0         : character ð= ≡ ( Congruence relation symbol )
0b1111_0001        0361        241        0xf1         : character ñ= ± ( Plus-minus sign )
0b1111_0010        0362        242        0xf2         : character ò= ‗ ( underline or underscore )
0b1111_0011        0363        243        0xf3         : character ó= ¾ ( three quarters, three-fourths )
0b1111_0100        0364        244        0xf4         : character ô= ¶ ( Paragraph sign or pilcrow ; end paragraph mark )
0b1111_0101        0365        245        0xf5         : character õ= § ( Section sign )
0b1111_0110        0366        246        0xf6         : character ö= ÷ ( The division sign ; Obelus )
0b1111_0111        0367        247        0xf7         : character ÷= ¸ ( cedilla )
0b1111_1000        0370        248        0xf8         : character ø= ° ( Degree symbol )
0b1111_1001        0371        249        0xf9         : character ù= ¨ ( Diaresis )
0b1111_1010        0372        250        0xfa         : character ú= · ( Interpunct or space dot )
0b1111_1011        0373        251        0xfb         : character û= ¹ ( Superscript one, exponent 1, first power )
0b1111_1100        0374        252        0xfc         : character ü= ³ ( Superscript three, exponent 3, cube, third power )
0b1111_1101        0375        253        0xfd         : character ý= ² ( Superscript two, exponent 2, square, second power )
0b1111_1110        0376        254        0xfe         : character þ= ■ ( black square )
0b1111_1111        0377        255        0xff         : character ÿ= nbsp ( Non-breaking space or no-break space )
